"method","gold_set","K","gold_size","tp","precision","recall","f1","auroc"
"rbh_pls","graft_Pj",500,80,80,0.747663551401869,1,0.855614973262032,NA
"rbh_pls","graft_Pj",1000,80,80,0.747663551401869,1,0.855614973262032,NA
"rbh_pls","graft_Pj",NA,80,NA,NA,NA,NA,0.841666666666667
"rbh_pls","time1d_At",100,12,11,0.11,0.916666666666667,0.196428571428571,NA
"rbh_pls","time1d_At",200,12,12,0.11214953271028,1,0.201680672268908,NA
"rbh_pls","time1d_At",500,12,12,0.11214953271028,1,0.201680672268908,NA
"rbh_pls","time1d_At",1000,12,12,0.11214953271028,1,0.201680672268908,NA
"rbh_pls","time1d_At",NA,12,NA,NA,NA,NA,0.485087719298246
"rbh_pls","time1d_Pj",100,13,13,0.13,1,0.230088495575221,NA
"rbh_pls","time1d_Pj",200,13,13,0.121495327102804,1,0.216666666666667,NA
"rbh_pls","time1d_Pj",500,13,13,0.121495327102804,1,0.216666666666667,NA
"rbh_pls","time1d_Pj",1000,13,13,0.121495327102804,1,0.216666666666667,NA
"rbh_pls","time1d_Pj",NA,13,NA,NA,NA,NA,0.615384615384615
"rbh_pls","time7d_At",100,2,2,0.02,1,0.0392156862745098,NA
"rbh_pls","time7d_At",200,2,2,0.0186915887850467,1,0.036697247706422,NA
"rbh_pls","time7d_At",500,2,2,0.0186915887850467,1,0.036697247706422,NA
"rbh_pls","time7d_At",1000,2,2,0.0186915887850467,1,0.036697247706422,NA
"rbh_pls","time7d_At",NA,2,NA,NA,NA,NA,0.661904761904762
"rbh_pls","time14d_At",100,12,12,0.12,1,0.214285714285714,NA
"rbh_pls","time14d_At",200,12,12,0.11214953271028,1,0.201680672268908,NA
"rbh_pls","time14d_At",500,12,12,0.11214953271028,1,0.201680672268908,NA
"rbh_pls","time14d_At",1000,12,12,0.11214953271028,1,0.201680672268908,NA
"rbh_pls","time14d_At",NA,12,NA,NA,NA,NA,0.458771929824561
"rbh_pls","time14d_Pj",100,5,5,0.05,1,0.0952380952380952,NA
"rbh_pls","time14d_Pj",200,5,5,0.0467289719626168,1,0.0892857142857143,NA
"rbh_pls","time14d_Pj",500,5,5,0.0467289719626168,1,0.0892857142857143,NA
"rbh_pls","time14d_Pj",1000,5,5,0.0467289719626168,1,0.0892857142857143,NA
"rbh_pls","time14d_Pj",NA,5,NA,NA,NA,NA,0.325490196078431
"guided_pca","graft_At",100,2707,62,0.62,0.0229035833025489,0.0441752760954756,NA
"guided_pca","graft_At",200,2707,118,0.59,0.0435906908016254,0.0811833505331957,NA
"guided_pca","graft_At",500,2707,271,0.542,0.100110823790174,0.169005300904272,NA
"guided_pca","graft_At",1000,2707,548,0.548,0.20243812338382,0.295656865389803,NA
"guided_pca","graft_At",NA,2707,NA,NA,NA,NA,0.479151868546456
"guided_pca","graft_Pj",100,2532,71,0.71,0.0280410742496051,0.053951367781155,NA
"guided_pca","graft_Pj",200,2532,134,0.67,0.0529225908372828,0.0980966325036603,NA
