"method","gold_set","K","gold_size","tp","precision","recall","f1","auroc"
"rbh_pls","parasm_At",100,21,21,0.21,1,0.347107438016529,NA
"rbh_pls","parasm_At",200,21,21,0.21,1,0.347107438016529,NA
"rbh_pls","parasm_At",500,21,21,0.21,1,0.347107438016529,NA
"rbh_pls","parasm_At",1000,21,21,0.21,1,0.347107438016529,NA
"rbh_pls","parasm_At",NA,21,NA,NA,NA,NA,0.791440626883665
"rbh_pls","parasm_Pj",100,32,32,0.32,1,0.484848484848485,NA
"rbh_pls","parasm_Pj",200,32,32,0.32,1,0.484848484848485,NA
"rbh_pls","parasm_Pj",500,32,32,0.32,1,0.484848484848485,NA
"rbh_pls","parasm_Pj",1000,32,32,0.32,1,0.484848484848485,NA
"rbh_pls","parasm_Pj",NA,32,NA,NA,NA,NA,0.817555147058823
"rbh_pls","wol_At",100,29,29,0.29,1,0.449612403100775,NA
"rbh_pls","wol_At",200,29,29,0.29,1,0.449612403100775,NA
"rbh_pls","wol_At",500,29,29,0.29,1,0.449612403100775,NA
"rbh_pls","wol_At",1000,29,29,0.29,1,0.449612403100775,NA
"rbh_pls","wol_At",NA,29,NA,NA,NA,NA,0.626032054395338
"rbh_pls","wol_Pj",100,1,1,0.01,1,0.0198019801980198,NA
"rbh_pls","wol_Pj",200,1,1,0.01,1,0.0198019801980198,NA
"rbh_pls","wol_Pj",500,1,1,0.01,1,0.0198019801980198,NA
"rbh_pls","wol_Pj",1000,1,1,0.01,1,0.0198019801980198,NA
"rbh_pls","wol_Pj",NA,1,NA,NA,NA,NA,0.96969696969697
"rbh_pls","time1d_At",100,16,16,0.16,1,0.275862068965517,NA
"rbh_pls","time1d_At",200,16,16,0.16,1,0.275862068965517,NA
"rbh_pls","time1d_At",500,16,16,0.16,1,0.275862068965517,NA
"rbh_pls","time1d_At",1000,16,16,0.16,1,0.275862068965517,NA
"rbh_pls","time1d_At",NA,16,NA,NA,NA,NA,0.43452380952381
"rbh_pls","time1d_Pj",100,29,29,0.29,1,0.449612403100775,NA
"rbh_pls","time1d_Pj",200,29,29,0.29,1,0.449612403100775,NA
"rbh_pls","time1d_Pj",500,29,29,0.29,1,0.449612403100775,NA
"rbh_pls","time1d_Pj",1000,29,29,0.29,1,0.449612403100775,NA
"rbh_pls","time1d_Pj",NA,29,NA,NA,NA,NA,0.670228266148616
"rbh_pls","time7d_At",100,10,10,0.1,1,0.181818181818182,NA
"rbh_pls","time7d_At",200,10,10,0.1,1,0.181818181818182,NA
"rbh_pls","time7d_At",500,10,10,0.1,1,0.181818181818182,NA
"rbh_pls","time7d_At",1000,10,10,0.1,1,0.181818181818182,NA
"rbh_pls","time7d_At",NA,10,NA,NA,NA,NA,0.428888888888889
"rbh_pls","time7d_Pj",100,43,43,0.43,1,0.601398601398601,NA
"rbh_pls","time7d_Pj",200,43,43,0.43,1,0.601398601398601,NA
"rbh_pls","time7d_Pj",500,43,43,0.43,1,0.601398601398601,NA
"rbh_pls","time7d_Pj",1000,43,43,0.43,1,0.601398601398601,NA
"rbh_pls","time7d_Pj",NA,43,NA,NA,NA,NA,0.772745818033456
"guided_pca","parasm_At",100,1418,62,0.62,0.0437235543018336,0.0816864295125165,NA
"guided_pca","parasm_At",200,1418,108,0.54,0.076163610719323,0.133498145859085,NA
"guided_pca","parasm_At",500,1418,272,0.544,0.191819464033851,0.283628779979145,NA
"guided_pca","parasm_At",1000,1418,503,0.503,0.354724964739069,0.416046319272126,NA
"guided_pca","parasm_At",NA,1418,NA,NA,NA,NA,0.729776448454465
"guided_pca","parasm_Pj",100,819,63,0.63,0.0769230769230769,0.137105549510337,NA
"guided_pca","parasm_Pj",200,819,112,0.56,0.136752136752137,0.2198233562316,NA
"guided_pca","parasm_Pj",500,819,235,0.47,0.286935286935287,0.356330553449583,NA
"guided_pca","parasm_Pj",1000,819,399,0.399,0.487179487179487,0.438702583837273,NA
"guided_pca","parasm_Pj",NA,819,NA,NA,NA,NA,0.808454666861746
