"method","dim","species","condition","neg_log10_p","odds_ratio","n_overlap","n_top","n_deg"
"guided_pca",4,"Pj","1d",10.5087021117927,2.69830201466965,91,200,1225
"guided_pca",4,"At","3d",7.01071061217044,Inf,5,200,5
"guided_pca",4,"Pj","3d",2.56701490963327,4.91368064897391,6,200,36
"guided_pca",4,"At","7d",0.870420415734767,1.29566312272283,27,200,543
"guided_pca",4,"Pj","7d",3.01124768737901,1.62527812275718,74,200,1348
"guided_pca",4,"At","wol",1.58338746766083,1.3781902818014,62,200,1242
"guided_pca",4,"Pj","wol",21.0433948744091,53.107852743936,20,200,30
"guided_pca",4,"At","parasm",14.6693494001934,3.1935140165836,109,200,1418
"guided_pca",4,"Pj","parasm",15.5553199630209,3.66219221815655,80,200,819
"guided_pca",5,"At","1d",18.0016840425008,4.45882784488921,70,200,587
"guided_pca",5,"Pj","1d",1.10430269105685,1.27148903838875,58,200,1225
"guided_pca",5,"At","3d",3.22614590043188,36.4157850153043,3,200,5
"guided_pca",5,"Pj","3d",0.112838095784058,0.684174458798197,1,200,36
"guided_pca",5,"At","7d",11.2764945713371,3.4428132246408,56,200,543
"guided_pca",5,"Pj","7d",1.82374788797099,1.41656076557098,68,200,1348
"guided_pca",5,"At","wol",2.10868579462813,1.48195196200125,65,200,1242
"guided_pca",5,"Pj","wol",5.82110849271304,10.7057537269769,9,200,30
"guided_pca",5,"At","parasm",5.97959691357024,2.04967410921764,88,200,1418
"guided_pca",5,"Pj","parasm",72.579168563672,16.1228019054796,145,200,819
"guided_pca",6,"At","1d",0.398011484121049,1.07728091580239,25,200,587
"guided_pca",6,"Pj","1d",30.6117193194403,5.60359174744431,125,200,1225
"guided_pca",6,"At","3d",1.83272766911139,16.1211541376796,2,200,5
"guided_pca",6,"Pj","3d",2.56701490963327,4.91368064897391,6,200,36
"guided_pca",6,"At","7d",1.39900732042043,1.47457897461727,30,200,543
"guided_pca",6,"Pj","7d",26.2250987714857,4.87223504816029,125,200,1348
"guided_pca",6,"At","wol",3.66116182307915,1.74495755640105,72,200,1242
"guided_pca",6,"Pj","wol",1.52077930031031,3.74502402240141,4,200,30
"guided_pca",6,"At","parasm",49.3158567477996,9.93343655867202,156,200,1418
"guided_pca",6,"Pj","parasm",0.36162717313064,1.04757589883085,34,200,819
"guided_pca",7,"At","1d",19.3289957667921,4.67797850744562,72,200,587
"guided_pca",7,"Pj","1d",1.24034785800946,1.30405147877773,59,200,1225
"guided_pca",7,"At","3d",3.22614590043188,36.4157850153043,3,200,5
"guided_pca",7,"Pj","3d",0.112838095784058,0.684174458798197,1,200,36
"guided_pca",7,"At","7d",13.541457866073,3.82848516528592,60,200,543
"guided_pca",7,"Pj","7d",1.6574240709864,1.38376757462865,67,200,1348
"guided_pca",7,"At","wol",0.781789588123386,1.18494720071568,56,200,1242
"guided_pca",7,"Pj","wol",8.04816854908575,14.619754462834,11,200,30
"guided_pca",7,"At","parasm",6.63776123177985,2.13877630528302,90,200,1418
"guided_pca",7,"Pj","parasm",64.4141028783941,13.4509936961311,138,200,819
"pca",1,"At","1d",5.67255600846827e-07,0.224625478784665,6,200,587
"pca",1,"Pj","1d",37.7555016671756,6.89885009412726,134,200,1225
"pca",1,"At","3d",0,0,0,200,5
"pca",1,"Pj","3d",0.371145037313013,1.41578958600186,2,200,36
"pca",1,"At","7d",4.48862859480091e-05,0.332213729598537,8,200,543
"pca",1,"Pj","7d",95.7636862094652,53.9345414456704,189,200,1348
"pca",1,"At","wol",31.470874761587,5.74712325007465,127,200,1242
"pca",1,"Pj","wol",0.150451641776537,0.826746913230782,1,200,30
"pca",1,"At","parasm",6.98019645044242,2.18463443228488,91,200,1418
"pca",1,"Pj","parasm",10.8349966178661,2.98063489570576,71,200,819
"pca",2,"At","1d",18.0016840425008,4.45882784488921,70,200,587
"pca",2,"Pj","1d",68.0189405400407,16.0418472438935,164,200,1225
"pca",2,"At","3d",0,0,0,200,5
"pca",2,"Pj","3d",1.87379116664435,3.94271248812154,5,200,36
"pca",2,"At","7d",9.69800649125108,3.1700161364033,53,200,543
"pca",2,"Pj","7d",6.03439593758212,2.06962881356774,85,200,1348
"pca",2,"At","wol",8.91099239350272,2.48188912173974,88,200,1242
"pca",2,"Pj","wol",10.5227916734569,19.5189244093461,13,200,30
"pca",2,"At","parasm",9.22173307747702,2.47968730569552,97,200,1418
"pca",2,"Pj","parasm",125.046533305233,62.0990278295937,181,200,819
"pca",3,"At","1d",28.1393373187016,6.18193909614586,84,200,587
"pca",3,"Pj","1d",0.000128761818734782,0.532406183616414,30,200,1225
"pca",3,"At","3d",0.733544182063496,6.01962920967915,1,200,5
"pca",3,"Pj","3d",0,0,0,200,36
"pca",3,"At","7d",29.0600845340416,6.53606719891312,82,200,543
"pca",3,"Pj","7d",1.97696079280358e-08,0.35807554135514,24,200,1348
"pca",3,"At","wol",5.35450461629162,1.99688366780685,78,200,1242
"pca",3,"Pj","wol",0.150451641776537,0.826746913230782,1,200,30
"pca",3,"At","parasm",28.8087917225754,5.30218567367918,132,200,1418
"pca",3,"Pj","parasm",7.7513602499434e-07,0.315874138587268,12,200,819
"pca",4,"At","1d",23.5547524979951,5.38679681719443,78,200,587
"pca",4,"Pj","1d",0.0469895903064752,0.812786430495888,42,200,1225
"pca",4,"At","3d",0,0,0,200,5
"pca",4,"Pj","3d",9.32967732799471,14.4139520542753,13,200,36
"pca",4,"At","7d",11.2764945713371,3.4428132246408,56,200,543
"pca",4,"Pj","7d",1.35163016553591,1.319778470002,65,200,1348
"pca",4,"At","wol",1.01262267182685,1.24739031762294,58,200,1242
"pca",4,"Pj","wol",0,0,0,200,30
"pca",4,"At","parasm",12.2425648689788,2.87334414301813,104,200,1418
"pca",4,"Pj","parasm",0.0500843423831793,0.789841584790618,27,200,819
